uid,name,province,city,area,address,lng,lat
22e114075a9a30b4d5b74e6c,深圳市儿童公园,广东省,深圳市,罗湖区,深圳市罗湖区童乐路12号,114.11925368710388,22.556327984412782
80f0a3e7297a611d40024540,南昌公园,广东省,深圳市,宝安区,深圳市宝安区南昌路,113.83615765921407,22.599145146850372
4df14e953664bc3e7bf796fd,翠岗公园,广东省,深圳市,宝安区,翠岗西路52号,113.81653984158169,22.66804875495955
6a2ab7b5393ff3aef942b2fb,东湖公园,广东省,深圳市,罗湖区,广东省深圳市罗湖区黄贝街道爱国路4006号,114.14383801163746,22.566615027728925
91c13f93fcc28c8720f0178b,翠竹公园,广东省,深圳市,罗湖区,深圳市罗湖区翠竹路1078号,114.1293074203973,22.56646155136274
33fbfa83a587cfbc0bf5eb7a,观澜老街公园,广东省,深圳市,龙华区,深圳市龙华区新澜大街40,114.04875034887709,22.71910553625955
ebdfa7dd4459062fb817e741,麻磡公园,广东省,深圳市,南山区,广东省深圳市南山区麻磡南路,113.94645749209481,22.63758826088266
373cf757580cfc6e4354d7c2,三联公园,广东省,深圳市,龙华区,广东省深圳市龙华区建辉路,114.013208351963,22.66752770234765
c8e8f63372783611aa0dd88e,前海花卉公园,广东省,深圳市,南山区,深圳市南山区荷兰花卉小镇旁,113.90717474006853,22.54852180333404
691939e517baf814adb22ae1,观澜体育公园,广东省,深圳市,龙华区,广东省深圳市龙华区观光路与观兴东路交叉处,114.02490962940175,22.7278243612928
dad3e3ec1f4d5cf74557268c,深圳湾公园,广东省,深圳市,南山区,广东省深圳市南山区望海路1051附近,113.92300059352564,22.48714181328163
e67732a0e0db077830169b80,宝安公园,广东省,深圳市,宝安区,新安四路,113.89790150158731,22.58918595904946
4f43af844c0a988fbfa822d9,梅林山公园,广东省,深圳市,福田区,深圳市福田区梅亭路14号,114.02501550430661,22.56475937355089
00f1c7fb1d32271fc056ac16,深圳国际园林花卉博览园,广东省,深圳市,福田区,深圳市福田区香蜜湖街道竹林社区深南大道竹子林段8002号,113.99844934484095,22.540551987674654
7aea43b7c0d074f87c29bd48,松坪山公园,广东省,深圳市,南山区,广东省深圳市南山区西丽街道松坪社区乌石头路9号,113.94245525538766,22.561487271726214
bb1d38e4ddd7db4d0c0a70c0,流塘公园,广东省,深圳市,宝安区,深圳市宝安区前进二路(正集源大厦旁边),113.88702065022133,22.585998915587442
f170ffc000c9a5faf1193766,田寮社区公园,广东省,深圳市,光明区,广东省深圳市光明区玉塘街道田寮社区警民路,113.8977721933668,22.731478691569187
7fd7231186ccd69f5cbe86c1,新安公园,广东省,深圳市,宝安区,前进一路与新安二路交叉口,113.90697219851918,22.566461743911667
bba873886726c5a1bca822c4,龙胜公园,广东省,深圳市,龙华区,深圳市龙华区龙胜新村a区67栋303室,114.00876648178027,22.653314592957354
844a750e0c237fa0636858b1,四海公园,广东省,深圳市,南山区,深圳市南山区公园路6号,113.92209761753247,22.49905492921474
fd8806eef151cb3128201a15,银湖山郊野公园,广东省,深圳市,罗湖区,广东省深圳市罗湖区清水河街道银湖社区,114.0781581638104,22.596229241660055
d991e116bfb01e551f3894fd,新桥中心公园,广东省,深圳市,宝安区,深圳市宝安区新沙路164号,113.82639105705412,22.73231953628285
332e28079473dfa88505bf6c,大生体育公园,广东省,深圳市,龙岗区,广东省深圳市龙岗区牛始埔路81号,114.17588667855945,22.63523178727058
34f68ab00620450a8f55ecfc,罗租岭公园,广东省,深圳市,宝安区,如意路167号,113.93139918083972,22.67889116105038
e8e281d0bddde97cc62ba15d,前海运动公园,广东省,深圳市,南山区,深圳市南山区梦海大道与前湾二路交汇处,113.8928032441949,22.51842278379613
a2a6f2de6f737762bca8222c,深圳湾公园-海韵公园,广东省,深圳市,南山区,深圳市南山区滨海大道,113.97716568890377,22.521853423898925
850815e18eed4d9843e1922f,望牛亭(政丰北路),广东省,深圳市,宝安区,深圳市宝安区政丰北路,113.8112880812309,22.67649285746952
