uid,boundary
d4c2b0f11ef8bfca4bcc4a75,"113.94110170515661,22.522464220856364;113.9410936635257,22.52251705439961;113.94124353861355,22.52358817198686;113.94125793575596,22.52361529804506;113.94127714781588,22.52362640285574;113.94131718169923,22.523634207370293;113.94331570035648,22.52335278118938;113.94336373904022,22.52333503944605;113.9433829744561,22.523296587156704;113.94338300140527,22.523251792726878;113.94310836695333,22.522111987336938;113.94309077813143,22.522078448521153;113.94305876881121,22.522062554374937;113.9430171422322,22.522061090954278;113.94115138684114,22.52241437847543;113.94111934069039,22.522436935908956;113.94110170515661,22.522464220856364"
bd074d2823cfb7b5a7c75632,"113.94404702704142,22.524656670285808;113.94510702754283,22.524523133744072;113.94512948518059,22.52448974958824;113.94499024782658,22.523350510379906;113.94494982407865,22.523321298993203;113.94374160316812,22.523459009761524;113.94404702704142,22.524656670285808"
004c43c1faaa989d50e5c55f,"113.94335489522247,22.52214481947315;113.94335486468009,22.522191213394198;113.94366635570879,22.523257391301126;113.94369034495743,22.523295722082104;113.94371754834319,22.523313247582774;113.94377036960545,22.523322707816796;113.94488170647014,22.523191409485047;113.94604161920527,22.523063237903656;113.94639210118463,22.52296713880919;113.94644331897156,22.52294153545798;113.9464513462296,22.522898340031617;113.94644657353241,22.522855145926965;113.94596099269256,22.521570675305775;113.94593382344242,22.52152109759132;113.9458986368156,22.521495522179308;113.94584743250324,22.52149235545536;113.94343658443061,22.52208218727917;113.94337733309749,22.522107957715164;113.94335489522247,22.52214481947315"
8a11388957967ee7220220c7,"113.94269175351894,22.524353375226898;113.94371582179998,22.52421983838863;113.94354298781992,22.52350199218502;113.94257299753058,22.523627016710854;113.94269175351894,22.524353375226898"
22e11407be87d4add5b74e52,"113.94238469652623,22.52431707400149;113.9424427513164,22.524298852902753;113.94235406610498,22.523647272759792;113.94230305403,22.523601478582883;113.94125806241703,22.523738082461197;113.94123499842307,22.52380818706103;113.94131470686754,22.524442723066738;113.94197033514381,22.52436975075694;113.94238469652623,22.52431707400149"
