number,x,y,uid
1,113.92968576069364,22.519826229862538,d4c2b0f11ef8bfca4bcc4a75
2,113.92967776553547,22.519879040034034,d4c2b0f11ef8bfca4bcc4a75
3,113.92982798638498,22.520950778316777,d4c2b0f11ef8bfca4bcc4a75
4,113.92984237250386,22.520977955742136,d4c2b0f11ef8bfca4bcc4a75
5,113.92986155597416,22.520989126606633,d4c2b0f11ef8bfca4bcc4a75
6,113.92990152194702,22.520997066309675,d4c2b0f11ef8bfca4bcc4a75
7,113.9318965527395,22.520720389604566,d4c2b0f11ef8bfca4bcc4a75
8,113.93194450805885,22.5207027138477,d4c2b0f11ef8bfca4bcc4a75
9,113.9319636924169,22.52066428453864,d4c2b0f11ef8bfca4bcc4a75
10,113.93196369387069,22.52061948610569,d4c2b0f11ef8bfca4bcc4a75
11,113.93168880646093,22.51947916025878,d4c2b0f11ef8bfca4bcc4a75
12,113.93167122438304,22.51944558922726,d4c2b0f11ef8bfca4bcc4a75
13,113.93163925527486,22.51942964025605,d4c2b0f11ef8bfca4bcc4a75
14,113.93159769306621,22.519428106010675,d4c2b0f11ef8bfca4bcc4a75
15,113.92973532156245,22.519776557516803,d4c2b0f11ef8bfca4bcc4a75
16,113.92970334753153,22.51979900460012,d4c2b0f11ef8bfca4bcc4a75
17,113.92968576069364,22.519826229862538,d4c2b0f11ef8bfca4bcc4a75
18,113.93262749752375,22.52202517390804,bd074d2823cfb7b5a7c75632
19,113.93368599422861,22.521891845400408,bd074d2823cfb7b5a7c75632
20,113.93370840597255,22.521858451421043,bd074d2823cfb7b5a7c75632
21,113.93356873207284,22.5207191535137,bd074d2823cfb7b5a7c75632
22,113.93352834431839,22.5206899466571,bd074d2823cfb7b5a7c75632
23,113.93232187628499,22.52082714891287,bd074d2823cfb7b5a7c75632
24,113.93262749752375,22.52202517390804,bd074d2823cfb7b5a7c75632
25,113.9319349749334,22.519512368229773,004c43c1faaa989d50e5c55f
26,113.93193497291863,22.519558766775795,004c43c1faaa989d50e5c55f
27,113.93224662605166,22.520625433101415,004c43c1faaa989d50e5c55f
28,113.93227060158097,22.520663793225403,004c43c1faaa989d50e5c55f
29,113.93229777474728,22.520681348982606,004c43c1faaa989d50e5c55f
30,113.93235052369045,22.52069086370888,004c43c1faaa989d50e5c55f
31,113.93346024182392,22.520560053854382,004c43c1faaa989d50e5c55f
32,113.9346186545473,22.520431108719105,004c43c1faaa989d50e5c55f
33,113.9349686873056,22.52033451186287,004c43c1faaa989d50e5c55f
34,113.93501983414556,22.52030882462682,004c43c1faaa989d50e5c55f
35,113.93502782747048,22.520265612156813,004c43c1faaa989d50e5c55f
36,113.93502303471806,22.520222421737138,004c43c1faaa989d50e5c55f
37,113.93453721419868,22.518938493657295,004c43c1faaa989d50e5c55f
38,113.93451004484169,22.518888941415796,004c43c1faaa989d50e5c55f
39,113.93447488285831,22.518863402014446,004c43c1faaa989d50e5c55f
40,113.93442373650815,22.51886028915848,004c43c1faaa989d50e5c55f
41,113.93201650148849,22.519449840194675,004c43c1faaa989d50e5c55f
42,113.93195735594776,22.519475533740643,004c43c1faaa989d50e5c55f
43,113.9319349749334,22.519512368229773,004c43c1faaa989d50e5c55f
44,113.93127413108901,22.521719988433357,8a11388957967ee7220220c7
45,113.93229654680236,22.52158801540622,8a11388957967ee7220220c7
46,113.93212357986638,22.520869913866083,8a11388957967ee7220220c7
47,113.93115517747441,22.52099332151293,8a11388957967ee7220220c7
48,113.93127413108901,22.521719988433357,8a11388957967ee7220220c7
49,113.9309675577005,22.521683015497743,22e11407be87d4add5b74e52
50,113.93102550694122,22.52166492631964,22e11407be87d4add5b74e52
51,113.9309366178028,22.5210130867712,22e11407be87d4add5b74e52
52,113.93088566533335,22.520967167258238,22e11407be87d4add5b74e52
53,113.92984256662066,22.521100751192314,22e11407be87d4add5b74e52
54,113.92981958274845,22.521170783184214,22e11407be87d4add5b74e52
55,113.92989948457982,22.521805640680967,22e11407be87d4add5b74e52
56,113.93055392236215,22.52173465088,22e11407be87d4add5b74e52
57,113.9309675577005,22.521683015497743,22e11407be87d4add5b74e52
