number,x,y,uid
1,113.96295918631236,22.54012174062037,e41eb1fb40abb0b82fb96db2
2,113.96291107542663,22.540338449105185,e41eb1fb40abb0b82fb96db2
3,113.96294458443036,22.540675940628716,e41eb1fb40abb0b82fb96db2
4,113.96298129076693,22.54094302842943,e41eb1fb40abb0b82fb96db2
5,113.96302498620544,22.541143502890318,e41eb1fb40abb0b82fb96db2
6,113.96307865210376,22.541475542459967,e41eb1fb40abb0b82fb96db2
7,113.96318402191677,22.54160166362695,e41eb1fb40abb0b82fb96db2
8,113.963308553413,22.541666939655865,e41eb1fb40abb0b82fb96db2
9,113.96342670258089,22.54166663629687,e41eb1fb40abb0b82fb96db2
10,113.96490196782364,22.541196651620215,e41eb1fb40abb0b82fb96db2
11,113.9659028135989,22.540826056656616,e41eb1fb40abb0b82fb96db2
12,113.96810459129695,22.53999766069597,e41eb1fb40abb0b82fb96db2
13,113.96859111113731,22.539811163872052,e41eb1fb40abb0b82fb96db2
14,113.96885971261004,22.539706045505223,e41eb1fb40abb0b82fb96db2
15,113.96945438157901,22.53949004765278,e41eb1fb40abb0b82fb96db2
16,113.96964435416525,22.539423135235115,e41eb1fb40abb0b82fb96db2
17,113.97013046002208,22.539225821560983,e41eb1fb40abb0b82fb96db2
18,113.97062055039196,22.53905168965359,e41eb1fb40abb0b82fb96db2
19,113.97180584787542,22.538638043524358,e41eb1fb40abb0b82fb96db2
20,113.97233024340034,22.538444597037856,e41eb1fb40abb0b82fb96db2
21,113.97277003168156,22.53826258011122,e41eb1fb40abb0b82fb96db2
22,113.97298473739166,22.538158785288392,e41eb1fb40abb0b82fb96db2
23,113.9730302413867,22.538018666538797,e41eb1fb40abb0b82fb96db2
24,113.9730470135426,22.537852230050508,e41eb1fb40abb0b82fb96db2
25,113.97282396048328,22.537483278457795,e41eb1fb40abb0b82fb96db2
26,113.97288781401487,22.537452301536533,e41eb1fb40abb0b82fb96db2
27,113.97267353682213,22.537115722173528,e41eb1fb40abb0b82fb96db2
28,113.97224577694075,22.536475355231442,e41eb1fb40abb0b82fb96db2
29,113.9721978964577,22.536350696053265,e41eb1fb40abb0b82fb96db2
30,113.97222344876673,22.536193834244777,e41eb1fb40abb0b82fb96db2
31,113.97233839044,22.536065521532336,e41eb1fb40abb0b82fb96db2
32,113.972360743248,22.535991863559758,e41eb1fb40abb0b82fb96db2
33,113.97193935959416,22.5354458685695,e41eb1fb40abb0b82fb96db2
34,113.97168796238682,22.53513698413818,e41eb1fb40abb0b82fb96db2
35,113.97164567136848,22.534975510586325,e41eb1fb40abb0b82fb96db2
36,113.97172230682402,22.534790508602818,e41eb1fb40abb0b82fb96db2
37,113.97174466657226,22.53463365531653,e41eb1fb40abb0b82fb96db2
38,113.9717414843179,22.53447687295365,e41eb1fb40abb0b82fb96db2
39,113.97167265546477,22.53430677327635,e41eb1fb40abb0b82fb96db2
40,113.97153878223426,22.534044658557498,e41eb1fb40abb0b82fb96db2
41,113.9714829146086,22.533991216148255,e41eb1fb40abb0b82fb96db2
42,113.9713663916955,22.533866745180056,e41eb1fb40abb0b82fb96db2
43,113.97101760810992,22.53366851864517,e41eb1fb40abb0b82fb96db2
44,113.97079213162745,22.53357074471026,e41eb1fb40abb0b82fb96db2
45,113.97065045873539,22.53352873637601,e41eb1fb40abb0b82fb96db2
46,113.97057223844911,22.533516151826195,e41eb1fb40abb0b82fb96db2
47,113.9704836397449,22.533538793740874,e41eb1fb40abb0b82fb96db2
48,113.9703878530582,22.53362305185808,e41eb1fb40abb0b82fb96db2
49,113.97025774164392,22.533740201940393,e41eb1fb40abb0b82fb96db2
50,113.9701308200916,22.533902940413643,e41eb1fb40abb0b82fb96db2
51,113.96989853447887,22.53410396400384,e41eb1fb40abb0b82fb96db2
52,113.96979755828367,22.534189434722165,e41eb1fb40abb0b82fb96db2
53,113.96969259039753,22.53427611599746,e41eb1fb40abb0b82fb96db2
54,113.96947786526,22.534452690567022,e41eb1fb40abb0b82fb96db2
55,113.96936691374488,22.534493789750993,e41eb1fb40abb0b82fb96db2
56,113.9692519717815,22.53451650048104,e41eb1fb40abb0b82fb96db2
57,113.9690580103773,22.53451222642614,e41eb1fb40abb0b82fb96db2
58,113.9688464900756,22.5344608015146,e41eb1fb40abb0b82fb96db2
59,113.96877784950861,22.534394590616095,e41eb1fb40abb0b82fb96db2
60,113.96872277064126,22.53443553712582,e41eb1fb40abb0b82fb96db2
61,113.96870920068109,22.534438773574774,e41eb1fb40abb0b82fb96db2
62,113.96868605269597,22.534442835863874,e41eb1fb40abb0b82fb96db2
63,113.96804109888195,22.53442297241314,e41eb1fb40abb0b82fb96db2
64,113.96803947379364,22.5348581526466,e41eb1fb40abb0b82fb96db2
65,113.96799636577464,22.534922264648888,e41eb1fb40abb0b82fb96db2
66,113.96790217374983,22.534956115245667,e41eb1fb40abb0b82fb96db2
67,113.96772177459741,22.53496699761496,e41eb1fb40abb0b82fb96db2
68,113.96727077358342,22.53500899915322,e41eb1fb40abb0b82fb96db2
69,113.9670544532022,22.534995175660047,e41eb1fb40abb0b82fb96db2
70,113.96690438550607,22.53498917458224,e41eb1fb40abb0b82fb96db2
