froms,tos,va,from,to,fromsdic,fromscity,fromspro,tospro,todic,toscity
91,29,1,南充,西安,西部,成渝城市群,四川省,西部,关中平原城市群,陕西省
18,29,3,南京,西安,东部,长三角城市群,江苏省,西部,关中平原城市群,陕西省
22,29,1,曲靖,西安,西部,其他区域,云南省,西部,关中平原城市群,陕西省
7,29,2,上海,西安,东部,长三角城市群,上海市,西部,关中平原城市群,陕西省
24,29,1,深圳,西安,东部,粤港澳大湾区,广东省,西部,关中平原城市群,陕西省
45,29,1,沈阳,西安,东部,东北地区,辽宁省,西部,关中平原城市群,陕西省
9,29,2,太原,西安,中部,其他区域,山西省,西部,关中平原城市群,陕西省
1,29,1,乌兰察布,西安,中部,其他区域,内蒙古自治区,西部,关中平原城市群,陕西省
28,29,1,乌鲁木齐,西安,西部,其他区域,新疆维吾尔自治区,西部,关中平原城市群,陕西省
46,29,1,武汉,西安,中部,长江中游城市群,湖北省,西部,关中平原城市群,陕西省
33,29,1,长春,西安,中部,东北地区,吉林省,西部,关中平原城市群,陕西省
34,29,4,长沙,西安,中部,长江中游城市群,湖南省,西部,关中平原城市群,陕西省
36,29,7,重庆,西安,西部,成渝城市群,重庆市,西部,关中平原城市群,陕西省
2,10,3,北京,西宁,东部,京津冀城市群,北京市,西部,其他区域,青海省
12,10,1,成都,西宁,西部,成渝城市群,四川省,西部,其他区域,青海省
57,10,1,广州,西宁,东部,粤港澳大湾区,广东省,西部,其他区域,青海省
92,10,1,海北藏族自治州,西宁,西部,其他区域,青海省,西部,其他区域,青海省
7,10,1,上海,西宁,东部,长三角城市群,上海市,西部,其他区域,青海省
29,10,1,西安,西宁,西部,关中平原城市群,陕西省,西部,其他区域,青海省
0,110,1,呼和浩特,兴安盟,中部,其他区域,内蒙古自治区,中部,其他区域,内蒙古自治区
2,111,4,北京,宿迁,东部,京津冀城市群,北京市,东部,其他区域,江苏省
18,111,1,南京,宿迁,东部,长三角城市群,江苏省,东部,其他区域,江苏省
19,111,4,宁波,宿迁,东部,长三角城市群,浙江省,东部,其他区域,江苏省
7,111,1,上海,宿迁,东部,长三角城市群,上海市,东部,其他区域,江苏省
2,78,13,北京,盐城,东部,京津冀城市群,北京市,东部,长三角城市群,江苏省
13,78,1,贵阳,盐城,西部,其他区域,贵州省,东部,长三角城市群,江苏省
6,78,3,兰州,盐城,西部,其他区域,甘肃省,东部,长三角城市群,江苏省
21,78,1,青岛,盐城,东部,其他区域,山东省,东部,长三角城市群,江苏省
7,78,1,上海,盐城,东部,长三角城市群,上海市,东部,长三角城市群,江苏省
51,78,1,石家庄,盐城,东部,京津冀城市群,河北省,东部,长三角城市群,江苏省
9,78,1,太原,盐城,中部,其他区域,山西省,东部,长三角城市群,江苏省
2,11,9,北京,银川,东部,京津冀城市群,北京市,西部,其他区域,宁夏回族自治区
12,11,2,成都,银川,西部,成渝城市群,四川省,西部,其他区域,宁夏回族自治区
62,11,1,天津,银川,东部,京津冀城市群,天津市,西部,其他区域,宁夏回族自治区
10,11,1,西宁,银川,西部,其他区域,青海省,西部,其他区域,宁夏回族自治区
2,112,5,北京,榆林,东部,京津冀城市群,北京市,西部,其他区域,陕西省
18,112,1,南京,榆林,东部,长三角城市群,江苏省,西部,其他区域,陕西省
29,112,2,西安,榆林,西部,关中平原城市群,陕西省,西部,其他区域,陕西省
2,113,5,北京,玉溪,东部,京津冀城市群,北京市,西部,其他区域,云南省
12,113,1,成都,玉溪,西部,成渝城市群,四川省,西部,其他区域,云南省
49,113,1,潍坊,玉溪,东部,其他区域,山东省,西部,其他区域,云南省
93,113,1,西双版纳,玉溪,西部,其他区域,云南省,西部,其他区域,云南省
2,114,32,北京,张家口,东部,京津冀城市群,北京市,东部,京津冀城市群,河北省
12,114,1,成都,张家口,西部,成渝城市群,四川省,东部,京津冀城市群,河北省
92,114,1,海北藏族自治州,张家口,西部,其他区域,青海省,东部,京津冀城市群,河北省
5,114,1,昆明,张家口,西部,其他区域,云南省,东部,京津冀城市群,河北省
67,114,1,丽江,张家口,西部,其他区域,云南省,东部,京津冀城市群,河北省
94,114,1,南宁,张家口,西部,北部湾城市群,广西壮族自治区,东部,京津冀城市群,河北省
24,114,1,深圳,张家口,东部,粤港澳大湾区,广东省,东部,京津冀城市群,河北省
45,114,1,沈阳,张家口,东部,东北地区,辽宁省,东部,京津冀城市群,河北省
29,114,1,西安,张家口,西部,关中平原城市群,陕西省,东部,京津冀城市群,河北省
36,114,1,重庆,张家口,西部,成渝城市群,重庆市,东部,京津冀城市群,河北省
2,34,36,北京,长沙,东部,京津冀城市群,北京市,中部,长江中游城市群,湖南省
12,34,3,成都,长沙,西部,成渝城市群,四川省,中部,长江中游城市群,湖南省
65,34,1,大连,长沙,东部,东北地区,辽宁省,中部,长江中游城市群,湖南省
73,34,1,福州,长沙,东部,海西地区,福建省,中部,长江中游城市群,湖南省
57,34,2,广州,长沙,东部,粤港澳大湾区,广东省,中部,长江中游城市群,湖南省
13,34,1,贵阳,长沙,西部,其他区域,贵州省,中部,长江中游城市群,湖南省
5,34,1,昆明,长沙,西部,其他区域,云南省,中部,长江中游城市群,湖南省
21,34,1,青岛,长沙,东部,其他区域,山东省,中部,长江中游城市群,湖南省
22,34,1,曲靖,长沙,西部,其他区域,云南省,中部,长江中游城市群,湖南省
7,34,3,上海,长沙,东部,长三角城市群,上海市,中部,长江中游城市群,湖南省
10,34,1,西宁,长沙,西部,其他区域,青海省,中部,长江中游城市群,湖南省
85,34,1,雅安,长沙,西部,成渝城市群,四川省,中部,长江中游城市群,湖南省
71,34,1,肇庆,长沙,东部,粤港澳大湾区,广东省,中部,长江中游城市群,湖南省
2,35,1,北京,郑州,东部,京津冀城市群,北京市,中部,中原城市群,河南省
72,36,1,阿坝,重庆,西部,成渝城市群,四川省,西部,成渝城市群,重庆市
81,36,1,白银,重庆,西部,其他区域,甘肃省,西部,成渝城市群,重庆市
2,36,53,北京,重庆,东部,京津冀城市群,北京市,西部,成渝城市群,重庆市
90,36,1,常德,重庆,中部,长江中游城市群,湖南省,西部,成渝城市群,重庆市
12,36,5,成都,重庆,西部,成渝城市群,四川省,西部,成渝城市群,重庆市
39,36,2,大理,重庆,西部,其他区域,云南省,西部,成渝城市群,重庆市
65,36,1,大连,重庆,东部,东北地区,辽宁省,西部,成渝城市群,重庆市
73,36,1,福州,重庆,东部,海西地区,福建省,西部,成渝城市群,重庆市
41,36,1,抚顺,重庆,东部,东北地区,辽宁省,西部,成渝城市群,重庆市
82,36,1,抚州,重庆,中部,长江中游城市群,江西省,西部,成渝城市群,重庆市
57,36,2,广州,重庆,东部,粤港澳大湾区,广东省,西部,成渝城市群,重庆市
3,36,2,杭州,重庆,东部,长三角城市群,浙江省,西部,成渝城市群,重庆市
0,36,1,呼和浩特,重庆,中部,其他区域,内蒙古自治区,西部,成渝城市群,重庆市
15,36,1,焦作,重庆,中部,中原城市群,河南省,西部,成渝城市群,重庆市
4,36,1,克拉玛依,重庆,西部,其他区域,新疆维吾尔自治区,西部,成渝城市群,重庆市
5,36,1,昆明,重庆,西部,其他区域,云南省,西部,成渝城市群,重庆市
6,36,4,兰州,重庆,西部,其他区域,甘肃省,西部,成渝城市群,重庆市
59,36,1,厦门,重庆,东部,海西地区,福建省,西部,成渝城市群,重庆市
7,36,7,上海,重庆,东部,长三角城市群,上海市,西部,成渝城市群,重庆市
45,36,1,沈阳,重庆,东部,东北地区,辽宁省,西部,成渝城市群,重庆市
51,36,1,石家庄,重庆,东部,京津冀城市群,河北省,西部,成渝城市群,重庆市
25,36,1,苏州,重庆,东部,长三角城市群,江苏省,西部,成渝城市群,重庆市
9,36,1,太原,重庆,中部,其他区域,山西省,西部,成渝城市群,重庆市
28,36,1,乌鲁木齐,重庆,西部,其他区域,新疆维吾尔自治区,西部,成渝城市群,重庆市
46,36,1,武汉,重庆,中部,长江中游城市群,湖北省,西部,成渝城市群,重庆市
29,36,2,西安,重庆,西部,关中平原城市群,陕西省,西部,成渝城市群,重庆市
95,36,1,邢台,重庆,东部,中原城市群,河北省,西部,成渝城市群,重庆市
64,36,1,扬州,重庆,东部,长三角城市群,江苏省,西部,成渝城市群,重庆市
33,36,2,长春,重庆,中部,东北地区,吉林省,西部,成渝城市群,重庆市
2,115,14,北京,舟山,东部,京津冀城市群,北京市,东部,长三角城市群,浙江省
56,115,1,德州,舟山,东部,其他区域,山东省,东部,长三角城市群,浙江省
57,115,1,广州,舟山,东部,粤港澳大湾区,广东省,东部,长三角城市群,浙江省
7,115,3,上海,舟山,东部,长三角城市群,上海市,东部,长三角城市群,浙江省
34,115,1,长沙,舟山,中部,长江中游城市群,湖南省,东部,长三角城市群,浙江省
2,116,5,北京,自贡,东部,京津冀城市群,北京市,西部,成渝城市群,四川省
12,116,10,成都,自贡,西部,成渝城市群,四川省,西部,成渝城市群,四川省
18,116,1,南京,自贡,东部,长三角城市群,江苏省,西部,成渝城市群,四川省
36,116,1,重庆,自贡,西部,成渝城市群,重庆市,西部,成渝城市群,四川省
