城市,正反线路,简称,全称,上车票价,全程票价,距离,起点站,终点站,线路类型,首班时间,末班时间
兰州,1,1号线,轨道交通1号线(陈官营--东岗),2,7,25.32698,陈官营,东岗,地铁,[],[]
兰州,2,1号线,轨道交通1号线(东岗--陈官营),2,7,25.32698,东岗,陈官营,地铁,[],[]
