城市,正反线路,简称,全称,上车票价,全程票价,距离,起点站,终点站,线路类型,首班时间,末班时间
宁波,1,1号线,轨道交通1号线(霞浦--高桥西),2,8,45.25968,霞浦,高桥西,地铁,[],[]
宁波,2,1号线,轨道交通1号线(高桥西--霞浦),2,8,45.25968,高桥西,霞浦,地铁,[],[]
宁波,1,2号线,轨道交通2号线(聪园路--栎社国际机场),2,7,33.40850,聪园路,栎社国际机场,地铁,[],[]
宁波,2,2号线,轨道交通2号线(栎社国际机场--聪园路),2,7,33.40850,栎社国际机场,聪园路,地铁,[],[]
宁波,1,3号线,轨道交通3号线(金海路--大通桥),2,7,37.74801,金海路,大通桥,地铁,[],[]
宁波,2,3号线,轨道交通3号线(大通桥--金海路),2,7,37.74801,大通桥,金海路,地铁,[],[]
宁波,1,4号线,轨道交通4号线(东钱湖--慈城),2,7,35.75274,东钱湖,慈城,地铁,[],[]
宁波,2,4号线,轨道交通4号线(慈城--东钱湖),2,7,35.75274,慈城,东钱湖,地铁,[],[]
