城市,正反线路,简称,全称,上车票价,全程票价,距离,起点站,终点站,线路类型,首班时间,末班时间
沈阳,1,1号线,地铁1号线(十三号街--黎明广场),2,6,27.12102,十三号街,黎明广场,地铁,0530,2300
沈阳,2,1号线,地铁1号线(黎明广场--十三号街),2,6,27.12102,黎明广场,十三号街,地铁,0600,2300
沈阳,1,2号线,地铁2号线(蒲田路--全运路),2,7,31.75075,蒲田路,全运路,地铁,0600,2300
沈阳,2,2号线,地铁2号线(全运路--蒲田路),2,7,31.75075,全运路,蒲田路,地铁,0530,2300
沈阳,1,9号线,地铁9号线(建筑大学--怒江公园),2,6,28.40892,建筑大学,怒江公园,地铁,0600,2300
沈阳,2,9号线,地铁9号线(怒江公园--建筑大学),2,6,28.40872,怒江公园,建筑大学,地铁,0600,2300
沈阳,1,10号线,地铁10号线(张沙布--丁香湖),2,6,26.84655,张沙布,丁香湖,地铁,0530,2300
沈阳,2,10号线,地铁10号线(丁香湖--张沙布),2,6,26.84655,丁香湖,张沙布,地铁,0530,2300
