城市,正反线路,简称,全称,上车票价,全程票价,距离,起点站,终点站,线路类型,首班时间,末班时间
绍兴,1,1号线,轨道交通1号线(柯桥段)(中国轻纺城--姑娘桥),2,6,19.54161,中国轻纺城,姑娘桥,地铁,0600,2155
绍兴,2,1号线,轨道交通1号线(柯桥段)(姑娘桥--中国轻纺城),2,6,19.54161,姑娘桥,中国轻纺城,地铁,0600,2200
